Resume,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Experienced Backend Developer, Software Engineer, DevOps Engineer professional with expertise in Docker, AWS, Python, Kubernetes and hands-on experience with Jira, VS Code, Figma. Holding Bachelor's in Computer Science, Master's in Information Systems with 7+ years, Entry level, 3-5 years of work experience. Previously worked at Google, Microsoft located in New York, NY, Boston, MA. Fluent in French, Spanish with strong Problem-Solving, Communication Skills, Teamwork. Certified in AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k.","Docker, AWS, Python, Kubernetes","Google, Microsoft","Jira, VS Code, Figma","Bachelor's in Computer Science, Master's in Information Systems","7+ years, Entry level, 3-5 years","Backend Developer, Software Engineer, DevOps Engineer","New York, NY, Boston, MA","French, Spanish","Problem-Solving, Communication Skills, Teamwork","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced Software Engineer, Backend Developer, Data Scientist, DevOps Engineer professional with expertise in Kubernetes, AWS and hands-on experience with Figma, Jira. Holding Ph.D. in Data Science, Bachelor's in Computer Science with Mid-Senior level, 2+ years, 3-5 years of work experience. Previously worked at Apple, Facebook located in Austin, TX, Chicago, IL, Seattle, WA. Fluent in French, German, Spanish with strong Teamwork, Problem-Solving, Leadership. Certified in PMP Certification, Certified Scrum Master, Google Cloud Professional. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k, $100k–$130k.","Kubernetes, AWS","Apple, Facebook","Figma, Jira","Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 2+ years, 3-5 years","Software Engineer, Backend Developer, Data Scientist, DevOps Engineer","Austin, TX, Chicago, IL, Seattle, WA","French, German, Spanish","Teamwork, Problem-Solving, Leadership","$90k–$120k, $120k–$150k, $100k–$130k","PMP Certification, Certified Scrum Master, Google Cloud Professional"
"Experienced Product Manager, Backend Developer professional with expertise in Python, AWS and hands-on experience with Figma, Slack. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with 3-5 years, 7+ years of work experience. Previously worked at Facebook, Apple located in Seattle, WA, San Francisco, CA. Fluent in French, German, Spanish with strong Problem-Solving, Teamwork, Leadership. Certified in Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k.","Python, AWS","Facebook, Apple","Figma, Slack","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","3-5 years, 7+ years","Product Manager, Backend Developer","Seattle, WA, San Francisco, CA","French, German, Spanish","Problem-Solving, Teamwork, Leadership","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","Google Cloud Professional, Certified Scrum Master"
"Experienced Software Engineer, Product Manager, Data Scientist, Backend Developer professional with expertise in TensorFlow, Docker, Machine Learning and hands-on experience with GitHub, VS Code, Tableau, Salesforce. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 5+ years, 3-5 years of work experience. Previously worked at Apple, IBM located in Boston, MA, Austin, TX. Fluent in French, English, Spanish, German with strong Communication Skills, Adaptability, Problem-Solving. Certified in Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $100k–$130k, $120k–$150k, $90k–$120k.","TensorFlow, Docker, Machine Learning","Apple, IBM","GitHub, VS Code, Tableau, Salesforce","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","5+ years, 3-5 years","Software Engineer, Product Manager, Data Scientist, Backend Developer","Boston, MA, Austin, TX","French, English, Spanish, German","Communication Skills, Adaptability, Problem-Solving","$100k–$130k, $120k–$150k, $90k–$120k","Certified Scrum Master, PMP Certification"
"Experienced DevOps Engineer, Software Engineer, Product Manager, Data Scientist professional with expertise in Python, Machine Learning and hands-on experience with Slack, Tableau. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with Mid-Senior level, Entry level, 7+ years of work experience. Previously worked at IBM, Microsoft, Apple located in San Francisco, CA, Austin, TX. Fluent in German, French, Spanish with strong Teamwork, Communication Skills, Adaptability. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k.","Python, Machine Learning","IBM, Microsoft, Apple","Slack, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, Entry level, 7+ years","DevOps Engineer, Software Engineer, Product Manager, Data Scientist","San Francisco, CA, Austin, TX","German, French, Spanish","Teamwork, Communication Skills, Adaptability","$120k–$150k, $90k–$120k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Experienced Software Engineer, Backend Developer professional with expertise in TensorFlow, Java, Kubernetes and hands-on experience with VS Code, Salesforce, Jira, Tableau. Holding Bachelor's in Computer Science, Ph.D. in Data Science with Mid-Senior level, 3-5 years of work experience. Previously worked at Amazon, Facebook, Google, Netflix located in San Francisco, CA, Boston, MA, New York, NY, Seattle, WA. Fluent in Spanish, French, English, German with strong Leadership, Communication Skills, Teamwork. Certified in AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k.","TensorFlow, Java, Kubernetes","Amazon, Facebook, Google, Netflix","VS Code, Salesforce, Jira, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, 3-5 years","Software Engineer, Backend Developer","San Francisco, CA, Boston, MA, New York, NY, Seattle, WA","Spanish, French, English, German","Leadership, Communication Skills, Teamwork","$90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Experienced Software Engineer, Data Scientist, DevOps Engineer professional with expertise in Docker, Machine Learning, Java, AWS and hands-on experience with Salesforce, VS Code, GitHub. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 7+ years, Mid-Senior level, 3-5 years of work experience. Previously worked at Microsoft, Netflix, Facebook located in Chicago, IL, San Francisco, CA, New York, NY, Boston, MA. Fluent in German, French, English with strong Adaptability, Problem-Solving, Communication Skills, Teamwork. Certified in Google Cloud Professional, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k.","Docker, Machine Learning, Java, AWS","Microsoft, Netflix, Facebook","Salesforce, VS Code, GitHub","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","7+ years, Mid-Senior level, 3-5 years","Software Engineer, Data Scientist, DevOps Engineer","Chicago, IL, San Francisco, CA, New York, NY, Boston, MA","German, French, English","Adaptability, Problem-Solving, Communication Skills, Teamwork","$90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k","Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Experienced DevOps Engineer, Product Manager, Software Engineer professional with expertise in Docker, Python, Kubernetes, TensorFlow and hands-on experience with Slack, Jira, GitHub, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems with 3-5 years, 2+ years of work experience. Previously worked at Apple, Netflix located in New York, NY, San Francisco, CA, Austin, TX. Fluent in Spanish, English with strong Adaptability, Teamwork. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k.","Docker, Python, Kubernetes, TensorFlow","Apple, Netflix","Slack, Jira, GitHub, Tableau","Bachelor's in Computer Science, Master's in Information Systems","3-5 years, 2+ years","DevOps Engineer, Product Manager, Software Engineer","New York, NY, San Francisco, CA, Austin, TX","Spanish, English","Adaptability, Teamwork","$120k–$150k, $90k–$120k","Google Cloud Professional, PMP Certification"
"Experienced DevOps Engineer, Data Scientist, Software Engineer professional with expertise in AWS, SQL and hands-on experience with GitHub, Jira, VS Code, Figma. Holding Bachelor's in Computer Science, Ph.D. in Data Science with Entry level, 7+ years, 5+ years, 3-5 years of work experience. Previously worked at Facebook, Google, Tesla, Microsoft located in Chicago, IL, Seattle, WA. Fluent in German, French, English with strong Leadership, Teamwork, Adaptability. Certified in PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k.","AWS, SQL","Facebook, Google, Tesla, Microsoft","GitHub, Jira, VS Code, Figma","Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, 7+ years, 5+ years, 3-5 years","DevOps Engineer, Data Scientist, Software Engineer","Chicago, IL, Seattle, WA","German, French, English","Leadership, Teamwork, Adaptability","$80k–$100k, $120k–$150k","PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect"
"Experienced DevOps Engineer, Backend Developer professional with expertise in Kubernetes, Docker and hands-on experience with GitHub, Tableau, Slack. Holding Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science with Entry level, Mid-Senior level of work experience. Previously worked at Facebook, Apple located in Seattle, WA, Boston, MA, New York, NY, San Francisco, CA. Fluent in Spanish, French, English, German with strong Adaptability, Teamwork. Certified in Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k.","Kubernetes, Docker","Facebook, Apple","GitHub, Tableau, Slack","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, Mid-Senior level","DevOps Engineer, Backend Developer","Seattle, WA, Boston, MA, New York, NY, San Francisco, CA","Spanish, French, English, German","Adaptability, Teamwork","$80k–$100k, $90k–$120k","Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced DevOps Engineer, Product Manager, Backend Developer, Data Scientist professional with expertise in Python, Java, SQL, Kubernetes and hands-on experience with Salesforce, GitHub, Jira, Tableau. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 2+ years, 3-5 years of work experience. Previously worked at Apple, Microsoft located in New York, NY, San Francisco, CA, Chicago, IL. Fluent in Spanish, German, French, English with strong Adaptability, Leadership, Teamwork. Certified in Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $100k–$130k.","Python, Java, SQL, Kubernetes","Apple, Microsoft","Salesforce, GitHub, Jira, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","2+ years, 3-5 years","DevOps Engineer, Product Manager, Backend Developer, Data Scientist","New York, NY, San Francisco, CA, Chicago, IL","Spanish, German, French, English","Adaptability, Leadership, Teamwork","$80k–$100k, $120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced DevOps Engineer, Product Manager, Software Engineer professional with expertise in Python, TensorFlow and hands-on experience with Slack, Salesforce, Jira. Holding Ph.D. in Data Science, Bachelor's in Computer Science with Entry level, 5+ years of work experience. Previously worked at IBM, Amazon located in Seattle, WA, New York, NY, Austin, TX, Boston, MA. Fluent in French, English, German with strong Communication Skills, Adaptability. Certified in Certified Scrum Master, Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k.","Python, TensorFlow","IBM, Amazon","Slack, Salesforce, Jira","Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, 5+ years","DevOps Engineer, Product Manager, Software Engineer","Seattle, WA, New York, NY, Austin, TX, Boston, MA","French, English, German","Communication Skills, Adaptability","$90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, PMP Certification"
"Experienced Data Scientist, Backend Developer professional with expertise in Python, AWS, Docker, SQL and hands-on experience with Jira, Figma, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems with Entry level, 5+ years of work experience. Previously worked at Apple, IBM located in Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA. Fluent in German, Spanish, English, French with strong Problem-Solving, Communication Skills, Teamwork. Certified in Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k.","Python, AWS, Docker, SQL","Apple, IBM","Jira, Figma, Tableau","Bachelor's in Computer Science, Master's in Information Systems","Entry level, 5+ years","Data Scientist, Backend Developer","Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA","German, Spanish, English, French","Problem-Solving, Communication Skills, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k","Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification"
"Experienced DevOps Engineer, Product Manager, Data Scientist, Backend Developer professional with expertise in Docker, SQL, Python and hands-on experience with VS Code, GitHub, Salesforce, Slack. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 2+ years, 7+ years, 3-5 years of work experience. Previously worked at Tesla, Facebook, Microsoft located in Boston, MA, Chicago, IL. Fluent in English, French, Spanish with strong Communication Skills, Problem-Solving. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k, $100k–$130k.","Docker, SQL, Python","Tesla, Facebook, Microsoft","VS Code, GitHub, Salesforce, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","2+ years, 7+ years, 3-5 years","DevOps Engineer, Product Manager, Data Scientist, Backend Developer","Boston, MA, Chicago, IL","English, French, Spanish","Communication Skills, Problem-Solving","$90k–$120k, $80k–$100k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Experienced Backend Developer, Product Manager professional with expertise in Python, SQL and hands-on experience with Jira, VS Code, Figma, GitHub. Holding Ph.D. in Data Science, Master's in Information Systems with 7+ years, Mid-Senior level, Entry level of work experience. Previously worked at Facebook, Microsoft, Amazon located in Seattle, WA, New York, NY. Fluent in German, French, English with strong Leadership, Teamwork. Certified in PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k.","Python, SQL","Facebook, Microsoft, Amazon","Jira, VS Code, Figma, GitHub","Ph.D. in Data Science, Master's in Information Systems","7+ years, Mid-Senior level, Entry level","Backend Developer, Product Manager","Seattle, WA, New York, NY","German, French, English","Leadership, Teamwork","$120k–$150k, $90k–$120k, $100k–$130k, $80k–$100k","PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced Software Engineer, Backend Developer, Product Manager, Data Scientist professional with expertise in TensorFlow, Python and hands-on experience with Slack, Figma, Tableau, Salesforce. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 7+ years, 2+ years, Entry level of work experience. Previously worked at Google, Facebook located in Chicago, IL, Boston, MA. Fluent in German, English with strong Adaptability, Communication Skills. Certified in Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k.","TensorFlow, Python","Google, Facebook","Slack, Figma, Tableau, Salesforce","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","7+ years, 2+ years, Entry level","Software Engineer, Backend Developer, Product Manager, Data Scientist","Chicago, IL, Boston, MA","German, English","Adaptability, Communication Skills","$80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k","Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Software Engineer, Data Scientist, Product Manager professional with expertise in Docker, Python, Machine Learning, TensorFlow and hands-on experience with Figma, Salesforce, Slack. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 7+ years, 5+ years, Mid-Senior level, 2+ years of work experience. Previously worked at Google, Facebook, Netflix located in Chicago, IL, Seattle, WA, Austin, TX. Fluent in English, German with strong Adaptability, Leadership, Communication Skills. Certified in AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $90k–$120k.","Docker, Python, Machine Learning, TensorFlow","Google, Facebook, Netflix","Figma, Salesforce, Slack","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","7+ years, 5+ years, Mid-Senior level, 2+ years","Software Engineer, Data Scientist, Product Manager","Chicago, IL, Seattle, WA, Austin, TX","English, German","Adaptability, Leadership, Communication Skills","$100k–$130k, $80k–$100k, $90k–$120k","AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Experienced Software Engineer, Product Manager professional with expertise in Kubernetes, TensorFlow and hands-on experience with Tableau, VS Code, Salesforce, GitHub. Holding Bachelor's in Computer Science, Master's in Information Systems with 2+ years, Entry level, 7+ years of work experience. Previously worked at Amazon, Google located in Chicago, IL, Boston, MA, San Francisco, CA. Fluent in German, English, Spanish with strong Problem-Solving, Leadership, Communication Skills, Teamwork. Certified in PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k.","Kubernetes, TensorFlow","Amazon, Google","Tableau, VS Code, Salesforce, GitHub","Bachelor's in Computer Science, Master's in Information Systems","2+ years, Entry level, 7+ years","Software Engineer, Product Manager","Chicago, IL, Boston, MA, San Francisco, CA","German, English, Spanish","Problem-Solving, Leadership, Communication Skills, Teamwork","$80k–$100k, $90k–$120k","PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced Data Scientist, Product Manager, Software Engineer, DevOps Engineer professional with expertise in Kubernetes, TensorFlow and hands-on experience with Salesforce, Jira, VS Code, Slack. Holding Ph.D. in Data Science, Bachelor's in Computer Science with 7+ years, 3-5 years, 2+ years, Entry level of work experience. Previously worked at Amazon, Netflix, Google, Facebook located in Austin, TX, San Francisco, CA, Seattle, WA. Fluent in Spanish, English, German with strong Leadership, Communication Skills. Certified in Google Cloud Professional, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $90k–$120k, $100k–$130k.","Kubernetes, TensorFlow","Amazon, Netflix, Google, Facebook","Salesforce, Jira, VS Code, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, 3-5 years, 2+ years, Entry level","Data Scientist, Product Manager, Software Engineer, DevOps Engineer","Austin, TX, San Francisco, CA, Seattle, WA","Spanish, English, German","Leadership, Communication Skills","$80k–$100k, $120k–$150k, $90k–$120k, $100k–$130k","Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Experienced Software Engineer, Backend Developer professional with expertise in Kubernetes, TensorFlow, AWS and hands-on experience with Figma, Slack. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 3-5 years, 5+ years of work experience. Previously worked at Apple, Amazon, Tesla located in San Francisco, CA, New York, NY, Chicago, IL. Fluent in German, English with strong Adaptability, Teamwork, Problem-Solving. Certified in Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k, $100k–$130k.","Kubernetes, TensorFlow, AWS","Apple, Amazon, Tesla","Figma, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","3-5 years, 5+ years","Software Engineer, Backend Developer","San Francisco, CA, New York, NY, Chicago, IL","German, English","Adaptability, Teamwork, Problem-Solving","$80k–$100k, $90k–$120k, $100k–$130k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect"
"Experienced Product Manager, Data Scientist professional with expertise in Machine Learning, AWS and hands-on experience with Slack, VS Code. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with Mid-Senior level, Entry level of work experience. Previously worked at Tesla, Facebook, Netflix located in Austin, TX, New York, NY. Fluent in English, German with strong Communication Skills, Leadership, Adaptability, Problem-Solving. Certified in Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k, $100k–$130k.","Machine Learning, AWS","Tesla, Facebook, Netflix","Slack, VS Code","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, Entry level","Product Manager, Data Scientist","Austin, TX, New York, NY","English, German","Communication Skills, Leadership, Adaptability, Problem-Solving","$90k–$120k, $80k–$100k, $100k–$130k","Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Experienced DevOps Engineer, Data Scientist, Backend Developer professional with expertise in Machine Learning, AWS, SQL and hands-on experience with Slack, GitHub, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 5+ years, Mid-Senior level, 2+ years, 3-5 years of work experience. Previously worked at Amazon, IBM, Facebook located in Austin, TX, Chicago, IL. Fluent in Spanish, German, English, French with strong Adaptability, Problem-Solving, Leadership, Teamwork. Certified in Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k, $100k–$130k.","Machine Learning, AWS, SQL","Amazon, IBM, Facebook","Slack, GitHub, Tableau","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","5+ years, Mid-Senior level, 2+ years, 3-5 years","DevOps Engineer, Data Scientist, Backend Developer","Austin, TX, Chicago, IL","Spanish, German, English, French","Adaptability, Problem-Solving, Leadership, Teamwork","$90k–$120k, $120k–$150k, $100k–$130k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Product Manager, Backend Developer, Data Scientist, Software Engineer professional with expertise in AWS, SQL, Docker, TensorFlow and hands-on experience with Salesforce, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 3-5 years, Entry level, 7+ years, 5+ years of work experience. Previously worked at Microsoft, Amazon located in San Francisco, CA, Seattle, WA, Chicago, IL, Boston, MA. Fluent in German, French with strong Adaptability, Leadership, Problem-Solving, Teamwork. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k.","AWS, SQL, Docker, TensorFlow","Microsoft, Amazon","Salesforce, Tableau","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","3-5 years, Entry level, 7+ years, 5+ years","Product Manager, Backend Developer, Data Scientist, Software Engineer","San Francisco, CA, Seattle, WA, Chicago, IL, Boston, MA","German, French","Adaptability, Leadership, Problem-Solving, Teamwork","$90k–$120k, $100k–$130k, $80k–$100k, $120k–$150k","Google Cloud Professional, PMP Certification"
"Experienced Software Engineer, Product Manager, Backend Developer, DevOps Engineer professional with expertise in TensorFlow, AWS and hands-on experience with GitHub, Salesforce, Slack, Jira. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 3-5 years, 7+ years of work experience. Previously worked at Tesla, Amazon, IBM, Microsoft located in San Francisco, CA, Chicago, IL. Fluent in Spanish, German, English with strong Teamwork, Communication Skills, Problem-Solving, Leadership. Certified in PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k.","TensorFlow, AWS","Tesla, Amazon, IBM, Microsoft","GitHub, Salesforce, Slack, Jira","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","3-5 years, 7+ years","Software Engineer, Product Manager, Backend Developer, DevOps Engineer","San Francisco, CA, Chicago, IL","Spanish, German, English","Teamwork, Communication Skills, Problem-Solving, Leadership","$80k–$100k, $120k–$150k","PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced DevOps Engineer, Product Manager, Backend Developer, Data Scientist professional with expertise in Python, Kubernetes, Docker and hands-on experience with GitHub, Salesforce. Holding Bachelor's in Computer Science, Ph.D. in Data Science with 3-5 years, Entry level, 5+ years, Mid-Senior level of work experience. Previously worked at Google, Microsoft located in Boston, MA, San Francisco, CA, Seattle, WA, New York, NY. Fluent in English, Spanish, German, French with strong Communication Skills, Teamwork. Certified in Certified Scrum Master, Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k.","Python, Kubernetes, Docker","Google, Microsoft","GitHub, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Entry level, 5+ years, Mid-Senior level","DevOps Engineer, Product Manager, Backend Developer, Data Scientist","Boston, MA, San Francisco, CA, Seattle, WA, New York, NY","English, Spanish, German, French","Communication Skills, Teamwork","$80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, PMP Certification"
"Experienced Data Scientist, Product Manager, DevOps Engineer professional with expertise in Docker, SQL and hands-on experience with Salesforce, Figma, Tableau. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with 2+ years, 5+ years of work experience. Previously worked at Microsoft, Netflix, Tesla, Google located in New York, NY, Seattle, WA, Austin, TX, San Francisco, CA. Fluent in German, Spanish, French, English with strong Communication Skills, Adaptability, Leadership. Certified in PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k, $100k–$130k.","Docker, SQL","Microsoft, Netflix, Tesla, Google","Salesforce, Figma, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","2+ years, 5+ years","Data Scientist, Product Manager, DevOps Engineer","New York, NY, Seattle, WA, Austin, TX, San Francisco, CA","German, Spanish, French, English","Communication Skills, Adaptability, Leadership","$90k–$120k, $80k–$100k, $100k–$130k","PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced Product Manager, Software Engineer professional with expertise in AWS, SQL, TensorFlow, Python and hands-on experience with GitHub, Salesforce, Jira. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 2+ years, 3-5 years, 5+ years, Mid-Senior level of work experience. Previously worked at IBM, Apple located in Seattle, WA, Boston, MA, San Francisco, CA, Chicago, IL. Fluent in French, English, German, Spanish with strong Teamwork, Adaptability, Problem-Solving, Leadership. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k.","AWS, SQL, TensorFlow, Python","IBM, Apple","GitHub, Salesforce, Jira","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","2+ years, 3-5 years, 5+ years, Mid-Senior level","Product Manager, Software Engineer","Seattle, WA, Boston, MA, San Francisco, CA, Chicago, IL","French, English, German, Spanish","Teamwork, Adaptability, Problem-Solving, Leadership","$80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Experienced DevOps Engineer, Product Manager, Data Scientist, Software Engineer professional with expertise in Python, AWS and hands-on experience with Slack, VS Code, Tableau. Holding Master's in Information Systems, Bachelor's in Computer Science with Mid-Senior level, 3-5 years of work experience. Previously worked at Google, Microsoft, Facebook located in New York, NY, Seattle, WA. Fluent in French, English, Spanish with strong Leadership, Teamwork. Certified in Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k.","Python, AWS","Google, Microsoft, Facebook","Slack, VS Code, Tableau","Master's in Information Systems, Bachelor's in Computer Science","Mid-Senior level, 3-5 years","DevOps Engineer, Product Manager, Data Scientist, Software Engineer","New York, NY, Seattle, WA","French, English, Spanish","Leadership, Teamwork","$90k–$120k, $120k–$150k","Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
